"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Shipping Suite","Shipping Suite"
"Shipping Suite Configuration","Shipping Suite Configuration"
"Multiple rates price calculation","Multiple rates price calculation"
"Validation Settings","Validation Settings"
"Advanced Postcode Validation: Is Enabled","Advanced Postcode Validation: Is Enabled"
"Advanced Postcode Validation: excessive data means postcode is valid","Advanced Postcode Validation: excessive data means postcode is valid"
"One and only one zone can be set for the address in one time (most prioritized zone from available)","One and only one zone can be set for the address in one time (most prioritized zone from available)"
"Shipping Methods Settings","Shipping Methods Settings"
"Rename Shipping Methods","Rename Shipping Methods"
"Display the Cheapest Shipping Method at the Top. Other methods will be displayed next ascending by price from low to high.","Display the Cheapest Shipping Method at the Top. Other methods will be displayed next ascending by price from low to high."
"Popup Configuration","Popup Configuration"
"Display Shipping Zones Popup","Display Shipping Zones Popup"
"Display Only Country & Region Fields","Display Only Country & Region Fields"
"Countries by Region Configuration","Countries by Region Configuration"
Africa,Africa
"North America","North America"
"South America","South America"
Oceania,Oceania
"Western Africa","Western Africa"
"Central America","Central America"
"Eastern Africa","Eastern Africa"
"Northern Africa","Northern Africa"
"Middle Africa","Middle Africa"
"Southern Africa","Southern Africa"
Americas,Americas
"Northern America","Northern America"
Caribbean,Caribbean
"Eastern Asia","Eastern Asia"
"Southern Asia","Southern Asia"
"Southeast Asia","Southeast Asia"
"Southern Europe","Southern Europe"
Australasia,Australasia
Melanesia,Melanesia
"Micronesian Region","Micronesian Region"
Polynesia,Polynesia
Asia,Asia
"Central Asia","Central Asia"
"Western Asia","Western Asia"
Europe,Europe
"Eastern Europe","Eastern Europe"
"Northern Europe","Northern Europe"
"Western Europe","Western Europe"
"Latin America","Latin America"
"Developer Settings","Developer Settings"
"These settings are designed to make the search for the extension issues in your shop easier.
                    Warning: please, do not change anything in these settings in case you are not sure what these settings are designed to.","These settings are designed to make the search for the extension issues in your shop easier.
                    Warning: please, do not change anything in these settings in case you are not sure what these settings are designed to."
"Resolve Address Parameters from API Request","Resolve Address Parameters from API Request"
Labels,Labels
"Add New Carrier","Add New Carrier"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Change Status","Change Status"
